time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity,taker_buy_sell_volume_taker_buy_volume_usd,taker_buy_sell_volume_taker_sell_volume_usd
2025-05-01,0.0088881,0.0090892,0.008657,0.0087265,543492124.5737,138554429,148490842,137151128,139620459.0,0.006901,0.01,-0.004756,-0.004352,0.008295,0.009993,-0.000344,-0.000149,0.007328,0.009997,-0.001946,-0.001674,66.72,33.28,2.01,67.01,32.99,2.03,69.11,30.89,2.24,440830.3046239,346339.9510209,461965.2014803,354413.3547803,2595882.0856,293516523.0,1898712.1273,212693235.0,2595882.0856,293516523.0,1898712.1273,212693235.0,,
2025-05-02,0.0087263,0.0089229,0.0085228,0.0086911,496772618.1325,139620459,147642363,138732179,145365612.0,-0.004352,0.01,-0.014408,0.001311,-0.000149,0.009954,-0.022035,0.005393,-0.001674,0.009862,-0.013294,0.004022,66.06,33.94,1.95,64.89,35.11,1.85,69.78,30.22,2.31,468725.5752622,178773.7740113,489712.6449681,183666.5798925,7675213.1787,881488241.0,2572194.8143,293479924.0,7675213.1787,881488241.0,2572194.8143,293479924.0,,
2025-05-03,0.008691,0.00872,0.0080669,0.0081707,452689110.5349,145365612,145553031,137393820,137616904.0,0.001311,0.01,-0.000832,0.008773,0.005393,0.009993,-0.011056,0.009283,0.004022,0.009997,-0.006013,0.008909,64.59,35.41,1.82,61.66,38.34,1.61,67.57,32.43,2.08,915060.5214256,72016.1468761,1074252.173904,73547.3690779,2410657.3899,278597338.0,2266869.0823,259634847.0,2410657.3899,278597338.0,2266869.0823,259634847.0,,
2025-05-04,0.0081708,0.0082683,0.0079848,0.0080764,441136077.1275,137616904,142113778,136551873,137598834.0,0.008773,0.01,-0.018081,-0.011776,0.009283,0.009992,-0.011988,-0.004724,0.008909,0.009996,-0.013172,-0.007121,69.22,30.78,2.25,68.88,31.12,2.21,69.55,30.45,2.28,763187.3414082,286606.5674779,824395.780573,293687.2370265,2768620.9968,340717719.0,2004519.1846,244299690.0,2768620.9968,340717719.0,2004519.1846,244299690.0,,
2025-05-05,0.0080769,0.0083515,0.007775,0.0079342,591591407.4204,137598834,149772146,137311861,145546663.0,-0.011776,0.01,-0.030824,-0.007392,-0.004724,0.00999,-0.026346,-0.002258,-0.007121,0.009996,-0.027713,-0.003695,69.3,30.7,2.26,67.03,32.97,2.03,68.52,31.48,2.18,1502008.4159152,564795.6873132,1566544.9771379,572710.5016626,2563057.6936,318871008.0,2141798.9556,263783408.0,2563057.6936,318871008.0,2141798.9556,263783408.0,,
2025-05-06,0.0079342,0.0080276,0.0075806,0.0079884,666034273.4979,145546663,149518071,139529262,147297625.0,-0.007392,0.01,-0.007975,0.01,-0.002258,0.009992,-0.022331,0.009992,-0.003695,0.009997,-0.007859,0.009997,70.04,29.96,2.34,67.2,32.8,2.05,68.72,31.28,2.2,1126122.1541057,606826.5098753,1160269.8079726,619789.3931585,3204805.0971,405882763.0,2753340.1142,345502811.0,3204805.0971,405882763.0,2753340.1142,345502811.0,,
2025-05-07,0.0079885,0.0083136,0.0079404,0.0082465,601760129.3967,147297625,153773117,142149169,152897901.0,0.01,0.01,-0.023667,-0.001782,0.009992,0.009992,-0.034509,0.002584,0.009997,0.009997,-0.025176,0.000483,69.24,30.76,2.25,68.12,31.88,2.14,69.75,30.25,2.31,214021.5579181,466253.0312267,224081.0728547,484128.2885792,3093645.972,389166339.0,3097604.3695,385759392.0,3093645.972,389166339.0,3097604.3695,385759392.0,,
2025-05-08,0.0082465,0.0117921,0.0082152,0.0111212,2249861733.3529,152897901,235161787,152810151,219603214.0,-0.001782,0.021795,-0.005172,0.021651,0.002584,0.015689,-0.023814,0.015631,0.000483,0.015843,-0.011614,0.015751,69.24,30.76,2.25,68.12,31.88,2.14,69.75,30.25,2.31,1523066.7165062,4399529.8428741,1581443.5418762,4674909.3987223,3837706.4822,467764996.0,3426109.5742,413497556.0,3837706.4822,467764996.0,3426109.5742,413497556.0,,
2025-05-09,0.0111209,0.0139697,0.0106438,0.0123701,3239318228.9363,219603214,274467662,210702151,238455580.0,0.021651,0.039146,0.01,0.01,0.015631,0.032155,0.009973,0.009985,0.015751,0.028972,0.009996,0.009998,62.25,37.75,1.65,61.35,38.65,1.59,64.94,35.06,1.85,4724786.5258603,8449055.3594137,5087543.280947,8671282.9214746,4086661.7395,369281944.0,3408138.7114,304699600.0,4086661.7395,369281944.0,3408138.7114,304699600.0,,
2025-05-10,0.0123701,0.014071,0.01216,0.0136887,2184480239.6648,238455580,278142485,235308796,264319606.0,0.01,0.01,-0.002112,0.01,0.009985,0.009986,-0.006254,0.009985,0.009998,0.009998,0.000206,0.009997,66.55,33.45,1.99,70.41,29.59,2.38,73.23,26.77,2.74,1677496.8530576,4261020.2336257,1768693.2757886,4420480.1509328,3045837.5606,247489261.0,3201866.3729,257424853.0,3045837.5606,247489261.0,3201866.3729,257424853.0,,
