cnn_key,obs_key,channel,concept_key,variant,symbol_scope,normalized_name,mean_auc_binary,mean_macro_f1,mean_importance_pct,mean_signal_score,std_signal_score,specs_count,positive_signal_specs,mean_window_size,mean_horizon_k,signal_score_ci_low,signal_score_ci_high
1d_others,price_seq_1d_others,1000PEPEUSDT_ob_imbalance_roc_12,ob_imbalance,roc_12,symbol,ob_imbalance_roc_12,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_oi_close_roc_1,oi_close,roc_1,symbol,oi_close_roc_1,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_oi_close_scale,oi_close,scale,symbol,oi_close_scale,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_oi_close_z_long,oi_close,z_long,symbol,oi_close_z_long,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_open_z_short,open,z_short,symbol,open_z_short,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_quote_volume_roc_1,quote_volume,roc_1,symbol,quote_volume_roc_1,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_quote_volume_roc_12,quote_volume,roc_12,symbol,quote_volume_roc_12,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_ret_3d_z,ret_3d,z,symbol,ret_3d_z,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_trades_ema_12_48_spread,trades,ema_12_48_spread,symbol,trades_ema_12_48_spread,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_trades_z_long,trades,z_long,symbol,trades_z_long,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_trades_z_short,trades,z_short,symbol,trades_z_short,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_volume_ema_12_48_spread,volume,ema_12_48_spread,symbol,volume_ema_12_48_spread,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_volume_ratio_z_long,volume_ratio,z_long,symbol,volume_ratio_z_long,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_volume_roc_1,volume,roc_1,symbol,volume_roc_1,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_buy_volume_roc_12,buy_volume,roc_12,symbol,buy_volume_roc_12,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_high_roc_12,high,roc_12,symbol,high_roc_12,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_liq_long_log_z,liq_long,log_z,symbol,liq_long_log_z,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_liq_long_roc_1,liq_long,roc_1,symbol,liq_long_roc_1,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_liq_long_z_long,liq_long,z_long,symbol,liq_long_z_long,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_liq_short_roc_1,liq_short,roc_1,symbol,liq_short_roc_1,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_liq_short_z_long,liq_short,z_long,symbol,liq_short_z_long,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_liq_short_z_short,liq_short,z_short,symbol,liq_short_z_short,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_low_roc_1,low,roc_1,symbol,low_roc_1,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_low_z_short,low,z_short,symbol,low_z_short,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_ls_account_ratio_z,ls_account_ratio,z,symbol,ls_account_ratio_z,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_ob_imbalance_roc_12,ob_imbalance,roc_12,symbol,ob_imbalance_roc_12,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_oi_close_roc_1,oi_close,roc_1,symbol,oi_close_roc_1,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_oi_close_scale,oi_close,scale,symbol,oi_close_scale,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_oi_close_z_long,oi_close,z_long,symbol,oi_close_z_long,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,DOGEUSDT_open_z_short,open,z_short,symbol,open_z_short,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
