episode_index,profit_base,episode_trade_count_base,total_fees_base,episode_max_dd_base,termination_reason_x,profit_per_trade_base,profit_other,episode_trade_count_other,total_fees_other,episode_max_dd_other,termination_reason_y,profit_per_trade_other,scenario,delta_profit,delta_profit_per_trade,delta_trade_count,delta_total_fees,delta_episode_max_dd
1,630.4711711730189,832,237.29080364093653,0.25072065023492063,max_steps_reached,0.7577778499675708,588.0192068766082,829,235.88121800596414,0.2532452006850643,max_steps_reached,0.7093114678849315,candidate__baseline_current,-42.451964296410665,-0.048466382082639314,-3,-1.4095856349723874,0.002524550450143659
2,-121.46220895688629,504,48.29191454008069,0.41476541538233835,balance_insufficient,-0.24099644634302836,-28.162952471905555,787,78.92743964486125,0.3628848365546294,max_steps_reached,-0.035785200091366653,candidate__baseline_current,93.29925648498073,0.2052112462516617,283,30.635525104780562,-0.05188057882770897
3,160.14294942768083,670,113.93333673990443,0.26204075515160835,max_steps_reached,0.23901932750400123,143.36250181837124,673,113.82533409000307,0.27027393412190837,max_steps_reached,0.21302006213725297,candidate__baseline_current,-16.78044760930959,-0.025999265366748264,3,-0.10800264990136554,0.008233178970300015
4,598.0526534868501,806,231.0499837641414,0.24550880466806377,max_steps_reached,0.7420008107777296,592.185532706216,813,232.46303893650168,0.237610697500297,max_steps_reached,0.7283954891835376,candidate__baseline_current,-5.867120780634082,-0.013605321594192032,7,1.4130551723602878,-0.00789810716776676
5,194.60457778123026,614,114.37763597580711,0.25326678948255504,max_steps_reached,0.3169455664189418,202.92960961049175,612,114.24884794685681,0.2501546998356139,max_steps_reached,0.3315843294289081,candidate__baseline_current,8.32503182926149,0.014638763009966305,-2,-0.1287880289502965,-0.003112089646941152
0,129.52477012847788,425,72.43695086153816,0.21824396338864566,max_steps_reached,0.30476416500818326,105.99195265151212,403,63.77988998096219,0.23593937939508933,max_steps_reached,0.26300732667869015,candidate__ultra_minimal,-23.53281747696576,-0.04175683832949312,-22,-8.657060880575976,0.01769541600644367
1,630.4711711730189,832,237.29080364093653,0.25072065023492063,max_steps_reached,0.7577778499675708,79.3504897744441,935,110.05917583142397,0.4163151136485032,max_steps_reached,0.08486683398336267,candidate__ultra_minimal,-551.1206813985748,-0.6729110159842081,103,-127.23162780951256,0.16559446341358258
2,-121.46220895688629,504,48.29191454008069,0.41476541538233835,balance_insufficient,-0.24099644634302836,82.27752541615462,548,77.41961264366641,0.24891759967657195,max_steps_reached,0.15014146973750842,candidate__ultra_minimal,203.7397343730409,0.3911379160805368,44,29.127698103585722,-0.1658478157057664
3,160.14294942768083,670,113.93333673990443,0.26204075515160835,max_steps_reached,0.23901932750400123,133.96877632512098,606,96.59502531110137,0.25822327197805495,max_steps_reached,0.22107058799524915,candidate__ultra_minimal,-26.17417310255985,-0.017948739508752087,-64,-17.338311428803067,-0.0038174831735534043
4,598.0526534868501,806,231.0499837641414,0.24550880466806377,max_steps_reached,0.7420008107777296,89.07552210614097,907,108.36243994669768,0.38301913228780055,max_steps_reached,0.09820895491305509,candidate__ultra_minimal,-508.9771313807091,-0.6437918558646745,101,-122.68754381744371,0.13751032761973678
